date,high,low,open,close,volume,quoteVolume,weightedAverage
1673596800000,19047.06,18808.40,18820.91,18924.44,48.897409,924376.95,18904.6
1673611200000,19299.00,18821.55,18922.04,19264.11,69.544732,1321891.44,19008.96
1673625600000,19382.96,19069.09,19264.11,19353.00,82.938332,1596636.72,19251.21
1673640000000,19975.33,19327.82,19358.05,19919.92,57.5926,1133466.53,19683.24
1673654400000,21200.00,19897.63,19928.53,20946.84,99.048219,2063429.31,20837.19
1673668800000,21042.50,20785.49,20946.82,20896.20,51.172815,1069581.03,20901.41
1673683200000,20993.97,18830.00,20878.30,20718.77,135.452627,2777528.78,20512.69
1673697600000,21150.00,20583.58,20717.17,20790.83,80.413601,1675913.87,20841.51
1673712000000,20883.15,20655.41,20788.78,20775.33,19.817162,411759.76,20778.02
1673726400000,21057.96,20755.78,20784.80,20961.15,13.451313,280894.97,20882.55
1673740800000,20990.76,20579.00,20938.90,20723.91,13.471629,279278.86,20731.2
1673755200000,20781.59,20667.85,20714.63,20734.69,10.498762,217645.44,20730.61
1673769600000,20756.16,20568.11,20734.70,20724.38,30.238837,625485.59,20684.93
1673784000000,20979.26,20647.36,20724.57,20916.05,48.478474,1007719.05,20787.24
1673798400000,21025.00,20664.26,20914.51,20856.85,60.886403,1270226.49,20862.46
1673812800000,20949.37,20750.15,20857.02,20868.19,25.075169,523341.13,20870.94
1673827200000,21411.12,20775.26,20870.23,21072.74,85.028039,1797876.98,21145.31
1673841600000,21244.40,21043.90,21072.73,21110.08,35.797094,755822.96,21114.14
1673856000000,21110.06,20678.06,21110.06,20815.64,37.178904,774346.88,20827.89
1673870400000,21070.00,20642.34,20815.65,20995.20,26.867105,559649.05,20830.52
1673884800000,21389.74,20927.12,20995.74,21308.88,79.576509,1674429.99,21042.27
1673899200000,21437.56,21066.35,21304.95,21179.40,26.637797,564906.8,21207.24
1673913600000,21284.85,20863.13,21179.37,21120.14,38.662207,814828.11,21075.82
1673928000000,21215.44,21064.00,21118.14,21134.11,27.327479,577585.91,21135.75
1673942400000,21237.60,21086.63,21133.01,21223.41,17.35865,367393.01,21164.86
1673956800000,21555.00,21040.00,21223.23,21180.99,59.645465,1267981.92,21259.23
1673971200000,21395.80,21090.24,21175.90,21332.34,20.248536,429496.86,21211.62
1673985600000,21392.24,21123.44,21334.49,21133.49,22.740248,483048.08,21242.21
1674000000000,21382.09,21107.06,21134.13,21261.32,45.96332,977211.08,21260.86
1674014400000,21316.19,21235.23,21261.33,21304.90,21.851626,464926.1,21276.51
1674028800000,21314.98,21171.92,21304.89,21210.21,22.59703,479702.39,21228.59
1674043200000,21628.00,20817.51,21206.76,21027.21,73.463396,1565973.12,21317.89
1674057600000,21121.79,20427.01,21027.21,20907.22,120.061222,2504879.57,20864.33
1674072000000,20936.10,20644.16,20907.23,20686.66,30.429979,632114.04,20772.94
1674086400000,20803.61,20665.92,20677.21,20742.40,18.44829,382490,20733.12
1674100800000,20875.04,20740.54,20742.42,20816.51,14.292285,297603.84,20822.71
1674115200000,20844.89,20707.66,20816.89,20738.23,22.80924,473967.36,20779.64
1674129600000,20945.34,20668.01,20737.65,20875.29,28.24538,586896.43,20778.7
1674144000000,21132.05,20801.06,20877.82,21090.34,51.126341,1071257.98,20953.55
1674158400000,21182.70,20930.90,21090.34,21069.59,70.148075,1476234.04,21044.67
1674172800000,21208.37,21011.97,21068.56,21091.46,26.501652,559159.37,21099.07
1674187200000,21119.96,20869.55,21091.47,20959.84,24.82148,521263,21000.61
1674201600000,20985.27,20909.54,20955.83,20962.92,23.259529,487252.61,20948.52
